長さ,強度,長さ,強度,,長さ,強度,長さ,強度,,長さ,強度,長さ,強度,,長さ(複),強度(複),,長さ(単),強度(単)
22,15.56,21.75,4.864,,20.1,101.23,20.05,110.9,,20.5,21.21,19.5,19.3,,4.5,0.005,,0,0.105
22.25,5.524,21.5,15.9,,10.5,4.251,22,10.34,,20,10.2,20,7.2,,4.75,0.005,,0.5,0.101
22.5,3.88,21.25,7.27,,29.65,4.419,25.3,2.54,,19.5,21.1,20.5,1.343,,5,0.006,,1,0.083
22.75,8.366,21,15.5,,,,28.56,0.513,,19,25.7,21,0.437,,5.25,0.006,,1.5,0.094
23,2.036,20.75,9.28,,,,17.2,17.3,,18.5,19.6,21.5,0.383,,5.5,0.006,,2,0.07
23.25,4.726,20.5,12.53,,,,14.95,7.74,,18,8.6,22,0.052,,5.75,0.006,,2.5,0.062
23.5,1.004,20.25,10.74,,,,11.45,2.852,,17.5,1.7,22.5,0.162,,6,0.01,,3,0.05
23.75,1.75,20,8.59,,,,,,,17,0.28,23,0.303,,6.25,0.016,,3.5,0.03
24,0.442,19.75,10,,,,した1,11.047,,16.5,0.46,23.5,0.221,,6.5,0.023,,4,0.019
24.25,0.317,19.5,4.76,,,,した2,6.8,,16,0.22,24,0.377,,6.75,0.018,,4.5,0.013
24.5,0.075,19.25,7.57,,,,した3,1.5,,15.5,0.034,24.5,0.559,,7,0.026,,5,0.014
24.75,0.046,19,2.26,,,,うえ1,11.24,,15,0.067,25,0.393,,7.25,0.029,,5.5,0.022
25,0.073,18.75,4.33,,,,うえ2,4.6,,14.5,0.051,25.5,0.232,,7.5,0.03,,6,0.053
25.25,0.207,18.5,0.958,,,,うえ3,,,14,0.053,26,0.26,,7.75,0.044,,6.5,0.055
25.5,0.356,18.25,1.567,,,,,,,13.5,0.174,26.5,0.296,,8,0.049,,7,0.075
25.75,0.316,18,0.324,,,,,,,13,0.234,27,0.252,,8.25,0.061,,7.5,0.121
26,0.64,17.75,0.215,,,,,,,12.5,0.165,27.5,0.213,,8.5,0.062,,8,0.151
26.25,0.2265,17.5,0.06,,,,,,,12,0.18,28,0.2,,8.75,0.05,,8.5,0.145
26.5,0.68,17.25,0.061,,,,,,,11.5,0.289,28.5,0.171,,9,0.07,,9,0.177
26.75,0.189,17,0.064,,,,,,,11,0.296,29,0.119,,9.25,0.06,,9.5,0.251
27,0.438,16.75,0.411,,,,,,,10.5,0.244,29.5,0.088,,9.5,0.033,,10,0.26
27.25,0.138,16.5,0.279,,,,,,,10,0.26,30,0.094,,9.75,0.036,,10.5,0.244
27.5,0.155,16.25,0.625,,,,,,,9.5,0.251,30.5,0.092,,10,0.02,,11,0.296
27.75,0.077,16,0.57,,,,,,,9,0.177,31,0.071,,10.25,0.02,,11.5,0.289
28,0.026,15.75,0.573,,,,,,,8.5,0.145,31.5,0.049,,10.5,0.018,,12,0.18
28.25,0.033,15.5,0.636,,,,,,,8,0.151,32,0.045,,10.75,0.04,,12.5,0.165
28.5,0.062,15.25,0.358,,,,,,,7.5,0.121,32.5,0.049,,11,0.048,,13,0.234
28.75,0.053,15,0.484,,,,,,,7,0.075,33,0.045,,11.25,0.08,,13.5,0.174
29,0.142,14.75,0.161,,,,,,,6.5,0.055,33.5,0.037,,11.5,0.119,,14,0.053
29.25,0.139,14.5,0.221,,,,,,,6,0.053,34,0.035,,11.75,0.114,,14.5,0.051
29.5,0.154,14.25,0.063,,,,,,,5.5,0.022,34.5,0.041,,12,0.184,,15,0.067
29.75,0.23,14,0.046,,,,,,,5,0.014,35,0.037,,12.25,0.105,,15.5,0.034
30,0.125,13.75,0.033,,,,,,,4.5,0.013,35.5,0.03,,12.5,0.199,,16,0.22
30.25,0.229,13.5,0.041,,,,,,,4,0.019,36,0.03,,12.75,0.073,,16.5,0.46
30.5,0.079,13.25,0.041,,,,,,,3.5,0.03,36.5,0.042,,13,0.133,,17,0.28
30.75,0.156,13,0.133,,,,,,,3,0.05,37,0.045,,13.25,0.041,,17.5,1.7
31,0.046,12.75,0.073,,,,,,,2.5,0.062,37.5,0.043,,13.5,0.041,,18,8.6
31.25,0.061,12.5,0.199,,,,,,,2,0.07,38,0.04,,13.75,0.033,,18.5,19.6
31.5,0.026,12.25,0.105,,,,,,,1.5,0.094,38.5,0.041,,14,0.046,,19,25.7
31.75,0.02,12,0.184,,,,,,,1,0.083,39,0.035,,14.25,0.063,,19.5,21.1
32,0.016,11.75,0.114,,,,,,,0.5,0.101,39.5,0.03,,14.5,0.221,,20,10.2
32.25,0.035,11.5,0.119,,,,,,,0,0.105,40,0.028,,14.75,0.161,,20.5,21.21
32.5,0.023,11.25,0.08,,,,,,,-0.5,,40.5,0.023,,15,0.484,,21,7.2
32.75,0.07,11,0.048,,,,,,,-1,,41,0.02,,15.25,0.358,,21.5,1.343
33,0.046,10.75,0.04,,,,,,,-1.5,,41.5,0.026,,15.5,0.636,,22,0.437
33.25,0.096,10.5,0.018,,,,,,,-2,,42,0.024,,15.75,0.573,,22.5,0.383
33.5,0.041,10.25,0.02,,,,,,,-2.5,,42.5,0.024,,16,0.57,,23,0.052
33.75,,10,0.02,,,,,,,-3,,43,0..021,,16.25,0.625,,23.5,0.162
34,,9.75,0.036,,,,,,,-3.5,,43.5,0.021,,16.5,0.279,,24,0.303
34.25,,9.5,0.033,,,,,,,-4,,44,,,16.75,0.411,,24.5,0.221
34.5,,9.25,0.06,,,,,,,-4.5,,44.5,,,17,0.064,,25,0.377
34.75,,9,0.07,,,,,,,-5,,45,,,17.25,0.061,,25.5,0.559
35,,8.75,0.05,,,,,,,-5.5,,45.5,,,17.5,0.06,,26,0.393
35.25,,8.5,0.062,,,,,,,-6,,46,,,17.75,0.215,,26.5,0.232
35.5,,8.25,0.061,,,,,,,-6.5,,46.5,,,18,0.324,,27,0.26
35.75,,8,0.049,,,,,,,-7,,47,,,18.25,1.567,,27.5,0.296
36,,7.75,0.044,,,,,,,-7.5,,47.5,,,18.5,0.958,,28,0.252
36.25,,7.5,0.03,,,,,,,-8,,48,,,18.75,4.33,,28.5,0.213
36.5,,7.25,0.029,,,,,,,-8.5,,48.5,,,19,2.26,,29,0.2
36.75,,7,0.026,,,,,,,-9,,49,,,19.25,7.57,,29.5,0.171
37,,6.75,0.018,,,,,,,-9.5,,,,,19.5,4.76,,30,0.119
37.25,,6.5,0.023,,,,,,,-10,,,,,19.75,10,,30.5,0.088
37.5,,6.25,0.016,,,,,,,-10.5,,,,,20,8.59,,31,0.094
37.75,,6,0.01,,,,,,,-11,,,,,20.25,10.74,,31.5,0.092
38,,5.75,0.006,,,,,,,-11.5,,,,,20.5,12.53,,32,0.071
38.25,,5.5,0.006,,,,,,,-12,,,,,20.75,9.28,,32.5,0.049
38.5,,5.25,0.006,,,,,,,-12.5,,,,,21,15.5,,33,0.045
38.75,,5,0.006,,,,,,,-13,,,,,21.25,7.27,,33.5,0.049
39,,4.75,0.005,,,,,,,-13.5,,,,,21.5,15.9,,34,0.045
39.25,,4.5,0.005,,,,,,,-14,,,,,21.75,15.44,,34.5,0.037
39.5,,4.25,,,,,,,,-14.5,,,,,22,15.56,,35,0.035
39.75,,4,,,,,,,,-15,,,,,22.25,5.524,,35.5,0.041
40,,3.75,,,,,,,,-15.5,,,,,22.5,3.88,,36,0.037
40.25,,3.5,,,,,,,,-16,,,,,22.75,8.366,,36.5,0.03
,,3.25,,,,,,,,-16.5,,,,,23,2.036,,37,0.03
,,3,,,,,,,,-17,,,,,23.25,4.726,,37.5,0.042
,,2.75,,,,,,,,-17.5,,,,,23.5,1.004,,38,0.045
,,2.5,,,,,,,,-18,,,,,23.75,1.75,,38.5,0.043
,,2.25,,,,,,,,,,,,,24,0.442,,39,0.04
,,2,,,,,,,,,,,,,24.25,0.317,,39.5,0.041
,,1.75,,,,,,,,,,,,,24.5,0.075,,40,0.035
,,1.5,,,,,,,,,,,,,24.75,0.046,,40.5,0.03
,,1.25,,,,,,,,,,,,,25,0.073,,41,0.028
,,1,,,,,,,,,,,,,25.25,0.207,,41.5,0.023
,,0.75,,,,,,,,,,,,,25.5,0.356,,42,0.02
